,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,4
260,4
261,4
262,4
263,4
264,5
265,5
266,5
267,5
268,5
269,6
270,6
271,6
272,6
273,6
274,6
275,6
276,6
277,7
278,7
279,7
280,8
281,8
282,8
283,8
284,8
285,9
286,9
287,9
288,10
289,10
290,10
291,11
292,12
293,12
294,13
295,13
296,13
297,13
298,14
299,15
300,15
301,16
302,16
303,16
304,16
305,16
306,17
307,18
308,18
309,19
310,19
311,19
312,19
313,20
314,20
315,20
316,20
317,20
318,20
319,21
320,21
321,21
322,22
323,22
324,22
325,23
326,23
327,23
328,24
329,24
330,26
331,26
332,27
333,27
334,27
335,27
336,28
337,28
338,29
339,32
340,33
341,33
342,33
343,35
344,35
345,35
346,35
347,36
348,36
349,40
350,40
351,41
352,42
353,43
354,44
355,44
356,46
357,46
358,46
359,50
360,50
361,52
362,52
363,53
364,54
365,56
366,59
367,59
368,60
369,60
370,60
371,62
372,63
373,63
374,64
375,71
376,72
377,72
378,73
379,73
380,73
381,74
382,74
383,76
384,76
385,78
386,79
387,81
388,81
389,81
390,82
391,83
392,86
393,90
394,90
395,90
396,91
397,91
398,94
399,95
400,97
401,97
402,97
403,98
404,98
405,98
406,99
407,99
408,99
409,99
410,100
411,101
412,102
413,103
414,103
415,103
416,104
417,104
418,105
419,106
420,107
421,107
422,110
423,112
424,112
425,113
426,114
427,116
428,116
429,117
430,120
431,120
432,121
433,121
434,123
435,124
436,124
437,125
438,127
439,130
440,130
441,136
442,137
443,138
444,140
445,141
446,145
447,145
448,148
449,148
450,148
451,150
452,156
453,156
454,158
455,160
456,160
457,164
458,165
459,166
460,166
461,166
462,166
463,167
464,167
465,168
466,168
467,171
468,172
469,174
470,176
471,177
472,178
473,179
474,179
475,180
476,181
477,182
478,183
479,184
480,184
481,185
482,186
483,186
484,187
485,188
486,190
487,199
488,204
489,204
490,206
491,206
492,207
493,208
494,220
495,222
496,226
497,228
498,229
499,229
500,232
501,234
502,236
503,247
504,248
505,250
506,253
507,255
508,256
509,257
510,258
511,262
512,265
513,267
514,268
515,270
516,270
517,279
518,281
519,285
520,285
521,286
522,287
523,293
524,293
525,296
526,296
527,297
528,297
529,298
530,300
531,302
532,307
